Normalized_ACC	Class	Order	Collapsed_Ord
0	Air	Indoor Air	Air 
0.013793103	Air	Outdoor Air	Air 
0.098412698	Air	Outdoor Air	Air 
0.077181208	Air	Outdoor Air	Air 
0.073260073	Air	Outdoor Air	Air 
0.070175439	Air	Outdoor Air	Air 
0.064171123	Air	Outdoor Air	Air 
0.063424947	Air	Outdoor Air	Air 
0.056097561	Air	Outdoor Air	Air 
0.055066079	Air	Outdoor Air	Air 
0.048231511	Air	Outdoor Air	Air 
0.047311828	Air	Outdoor Air	Air 
0.04222973	Air	Outdoor Air	Air 
0.041791045	Air	Outdoor Air	Air 
0.041753653	Air	Outdoor Air	Air 
0.041742287	Air	Outdoor Air	Air 
0.040268456	Air	Outdoor Air	Air 
0.038781163	Air	Outdoor Air	Air 
0.037671233	Air	Outdoor Air	Air 
0.0367713	Air	Outdoor Air	Air 
0.032467532	Air	Outdoor Air	Air 
0.031879195	Air	Outdoor Air	Air 
0.031837916	Air	Outdoor Air	Air 
0.02739726	Air	Outdoor Air	Air 
0.026262626	Air	Outdoor Air	Air 
0.023927393	Air	Outdoor Air	Air 
0.02173913	Air	Outdoor Air	Air 
0.020746888	Air	Outdoor Air	Air 
0.020539906	Air	Outdoor Air	Air 
0.012618297	Air	Outdoor Air	Air 
0	Air	Outdoor Air	Air 
0.298611111	Algae	Brown Algae	Green algae
0.282258065	Algae	Brown Algae	Green algae
0.41025641	Algae	Green algae	Green algae
0.307390451	Algae	Green algae	Green algae
0.301526718	Algae	Green algae	Green algae
0.293641618	Algae	Green algae	Green algae
0.266533066	Algae	Green algae	Green algae
0.241962775	Algae	Green algae	Green algae
0.24090638	Algae	Green algae	Green algae
0.221606648	Algae	Green algae	Green algae
0.221596725	Algae	Green algae	Green algae
0.204663212	Algae	Green algae	Green algae
0.198198198	Algae	Green algae	Green algae
0.188191882	Algae	Green algae	Green algae
0.186560566	Algae	Green algae	Green algae
0.185973207	Algae	Green algae	Green algae
0.182539683	Algae	Green algae	Green algae
0.179562044	Algae	Green algae	Green algae
0.169992019	Algae	Green algae	Green algae
0.168574402	Algae	Green algae	Green algae
0.16439523	Algae	Green algae	Green algae
0.163213744	Algae	Green algae	Green algae
0.156167979	Algae	Green algae	Green algae
0.151187905	Algae	Green algae	Green algae
0.145945946	Algae	Green algae	Green algae
0.142857143	Algae	Green algae	Green algae
0.141882674	Algae	Green algae	Green algae
0.140522876	Algae	Green algae	Green algae
0.129533679	Algae	Green algae	Green algae
0.12946979	Algae	Green algae	Green algae
0.129186603	Algae	Green algae	Green algae
0.126436782	Algae	Green algae	Green algae
0.119096509	Algae	Green algae	Green algae
0.116591928	Algae	Green algae	Green algae
0.116071429	Algae	Green algae	Green algae
0.104273504	Algae	Green algae	Green algae
0.1015625	Algae	Green algae	Green algae
0.096365173	Algae	Green algae	Green algae
0.0913371	Algae	Green algae	Green algae
0.086206897	Algae	Green algae	Green algae
0.084158416	Algae	Green algae	Green algae
0	Algae	Green algae	Green algae
0.242033384	Algae	Red algae	Red algae
0.235152488	Algae	Red algae	Red algae
0.234375	Algae	Red algae	Red algae
0.228187919	Algae	Red algae	Red algae
0.212622089	Algae	Red algae	Red algae
0.202247191	Algae	Red algae	Red algae
0.197773973	Algae	Red algae	Red algae
0.192602041	Algae	Red algae	Red algae
0.190711462	Algae	Red algae	Red algae
0.188405797	Algae	Red algae	Red algae
0.180857311	Algae	Red algae	Red algae
0.159509202	Algae	Red algae	Red algae
0.155531216	Algae	Red algae	Red algae
0.150431566	Algae	Red algae	Red algae
0.148282098	Algae	Red algae	Red algae
0.116104869	Algae	Red algae	Red algae
0.11556384	Algae	Red algae	Red algae
0.093078759	Algae	Red algae	Red algae
0.090525508	Algae	Red algae	Red algae
0.052121212	Algae	Red algae	Red algae
0.015739385	Algae	Red algae	Red algae
0.194570136	Terrestrial	Deep subsurface	Fresh water
0.25	Terrestrial	Deep subsurface	Fresh water
0.205882353	Terrestrial	Deep subsurface	Fresh water
0.166666667	Terrestrial	Deep subsurface	Fresh water
0.132850242	Terrestrial	Deep subsurface	Fresh water
0.116256863	Terrestrial	Deep subsurface	Fresh water
0.093023256	Terrestrial	Deep subsurface	Fresh water
