	observed_species	shannon	singles
Ga0075370	241.0	7.05409737601	181.0
Ga0075366	261.0	7.06877790605	200.0
Ga0075364	291.0	7.36528856822	214.0
Ga0105354	95.0	5.9124730291	60.0
Ga0105355	124.0	6.34253254885	59.0
Ga0070675	332.0	8.12607572795	252.0
Ga0079076	11.0	3.41829583405	10.0
Ga0154020	88.0	6.11719994344	64.0
Ga0070737	63.0	5.85428992534	51.0
Ga0070738	61.0	5.83616032364	54.0
Ga0070739	91.0	6.28717980778	77.0
C687J29651	63.0	5.83277359562	58.0
Ga0073934	195.0	7.53102850292	185.0
Ga0070707	404.0	8.39678201278	314.0
C687J35164	37.0	5.13225760823	28.0
Ga0075430	435.0	8.45635203868	336.0
Ga0070734	120.0	6.73680783948	102.0
Ga0070740	76.0	6.13122607655	70.0
C687J26616	110.0	6.61518181372	91.0
Ga0075435	507.0	8.72781918344	396.0
Ga0070680	355.0	8.19044685674	279.0
Ga0070661	276.0	7.72904367614	208.0
Ga0068857	377.0	8.11285645586	294.0
Ga0075434	510.0	8.62072630312	399.0
Ga0068853	365.0	8.15498270371	287.0
Ga0070693	319.0	7.97020158834	246.0
Ga0074059	126.0	6.84869944391	107.0
Ga0062589	514.0	8.68821081824	396.0
Ga0070701	289.0	8.02693524878	239.0
Ga0070682	395.0	8.28937099219	314.0
Ga0070678	385.0	8.2443368007	294.0
Ga0065715	128.0	6.70238859795	97.0
Ga0075274	30.0	4.88968018135	29.0
Ga0070713	292.0	7.77607064134	206.0
Ga0075436	432.0	8.41780780725	332.0
Ga0070687	280.0	7.93591324776	232.0
Ga0070684	397.0	8.27515719834	314.0
Ga0070708	355.0	8.20843963661	268.0
Ga0070659	323.0	7.99412164541	251.0
Ga0070704	395.0	8.35525133532	324.0
Ga0075422	228.0	7.63540285483	180.0
Ga0079219	333.0	7.94973718104	258.0
Ga0097621	426.0	8.31999551264	346.0
Ga0070679	347.0	8.05525067452	268.0
Ga0070712	368.0	8.09880841908	273.0
Ga0070681	340.0	8.08736868356	257.0
Ga0070695	343.0	8.17791269266	286.0
Ga0068869	333.0	8.00556064833	259.0
Ga0070714	287.0	7.69027410276	207.0
Ga0070674	350.0	8.12536249147	266.0
Ga0068870	252.0	7.73640546994	200.0
Ga0070702	340.0	8.12795415586	268.0
Ga0062594	579.0	8.73650464457	439.0
Ga0070697	337.0	8.13828099477	259.0
Ga0079220	267.0	7.68682704983	198.0
Ga0070741	252.0	7.7104507942	203.0
Ga0068866	280.0	7.89272133158	226.0
Ga0062595	499.0	8.45487640969	383.0
Ga0075425	603.0	8.90446735778	478.0
Ga0068854	340.0	8.04757362726	261.0
Ga0070705	353.0	8.20082478727	281.0
Ga0070716	404.0	8.28944255418	315.0
Ga0065714	65.0	5.31020516107	39.0
Ga0070664	363.0	8.1967732467	287.0
Ga0066694	114.0	6.44788706354	97.0
Ga0070658	255.0	7.61349976338	186.0
Ga0070673	349.0	8.09394623919	271.0
Ga0068856	374.0	8.19610154736	284.0
Ga0079222	368.0	8.18337183433	290.0
Ga0068871	452.0	8.43744023251	356.0
Ga0068865	476.0	8.48539707721	378.0
Ga0070692	275.0	7.85956985705	225.0
Ga0068861	343.0	8.14542850808	272.0
Ga0068851	211.0	7.52398264547	161.0
Ga0062590	470.0	8.55915787707	355.0
Ga0073909	131.0	6.82513453668	113.0
Ga0070696	372.0	8.22214525295	305.0
Ga0068868	390.0	8.25499067873	309.0
Ga0075279	33.0	4.99323714941	29.0
Ga0070663	335.0	7.98346693448	269.0
Ga0075429	460.0	8.50373681535	365.0
Ga0066682	150.0	6.80681038527	114.0
Ga0075026	381.0	8.36077996062	322.0
Ga0070676	273.0	7.83341127211	207.0
