Collapsed_Eco	lat	long
Air		
Air		
Air		
Air		
Air		
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	38.5382364	-121.7639012
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	-33.966629	151.166614
Algae	42.52	-8.82
Algae	42.52	-8.82
Algae	42.52	-8.82
Algae	42.52	-8.82
Algae	42.52	-8.82
Algae	42.52	-8.82
Algae	-33.9283	18.3793
Algae	41.162	8.622
Algae	41.162	8.622
Algae	44.342	-68.065
Algae	44.342	-68.065
Algae	-33.57	150.15
Algae	-33.57	150.15
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water		
Fresh water	38.9383	-110.1342
Fresh water	38.9383	-110.1342
Fresh water	38.9383	-110.1342
Fresh water	38.9383	-110.1342
Fresh water	55.9232	-3.1878
Fresh water	55.9225	-3.1724
Fresh water	55.9225	-3.1724
Fresh water	55.9225	-3.1724
Fresh water	55.9225	-3.1724
Fresh water	55.9225	-3.1724
Fresh water	38.9383	-110.1342
Fresh water	38.9383	-110.1342
Fresh water	38.9383	-110.1342
Fresh water	53.7598	107.9791
Fresh water	38.9383	-110.1354
Fresh water	38.9383	-110.1354
Fresh water	-28.38	23.446
Fresh water	46.8319	-72.5
Fresh water	46.8319	-72.5
Fresh water	46.8319	-72.5
Fresh water	46.8319	-72.5
Fresh water	46.8319	-72.5
Fresh water	46.8319	-72.5
Fresh water	46.8319	-72.5
Fresh water	46.8319	-72.5
Fresh water	46.8319	-72.5
Fresh water	46.8319	-72.5
Fresh water	46.8319	-72.5
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.1149	-88.5476
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	47.5028	-93.4828
Fresh water	43.292222	-73.604444
Fresh water	43.292222	-73.604444
Fresh water	43.292222	-73.604444
Fresh water	43.292222	-73.604444
Fresh water	43.292222	-73.604444
Fresh water	43.292222	-73.604444
