Entry	Entry name	Status	Protein_names	Gene_names	Organism	AA_Length	Taxonomic lineage (ALL)	Organism ID
A0A177G802	A0A177G802_9PROT	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	Amal_03313	Acetobacter malorum	305	"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acetobacter, Acetobacter malorum"	178901
A0A149U2P6	A0A149U2P6_9PROT	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7)	AD948_08240	Acetobacter senegalensis	338	"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acetobacter, Acetobacter senegalensis"	446692
A0A160BMG6	A0A160BMG6_9PROT	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	WG31_10535	Acetobacter sp. SLV-7	387	"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acetobacter, Acetobacter sp. SLV-7"	1633874
A0A0D6P0U0	A0A0D6P0U0_9PROT	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	Absy_027_105	Acetobacter syzygii 9H-2	330	"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acetobacter, Acetobacter syzygii, Acetobacter syzygii 9H-2"	1231343
A0A149U6B2	A0A149U6B2_9PROT	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7)	AD947_01525	Acetobacter tropicalis	338	"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acetobacter, Acetobacter tropicalis"	104102
H0F5U8	H0F5U8_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS KYC_10708	Achromobacter arsenitoxydans SY8	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter arsenitoxydans, Achromobacter arsenitoxydans SY8"	477184
A0A1Q9X695	A0A1Q9X695_ACHDE	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS BVK87_19585	Achromobacter denitrificans (Alcaligenes denitrificans)	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter denitrificans (Alcaligenes denitrificans)"	32002
F7T3P8	F7T3P8_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS AXXA_17826	Achromobacter insuavis AXX-A	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter insuavis, Achromobacter insuavis AXX-A"	1003200
A0A0L6IFL5	A0A0L6IFL5_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS AKG08_01720	Achromobacter piechaudii	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter piechaudii"	72556
D4X9E9	D4X9E9_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (Fragment)	dcyD HMPREF0004_2096	Achromobacter piechaudii ATCC 43553	262	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter piechaudii, Achromobacter piechaudii ATCC 43553"	742159
J4YPR9	J4YPR9_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS QWC_09861	Achromobacter piechaudii HLE	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter piechaudii, Achromobacter piechaudii HLE"	1156919
A0A1D8I5N4	A0A1D8I5N4_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS AruCF_0890	Achromobacter ruhlandii	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter ruhlandii"	72557
A0A0M7ERX6	A0A0M7ERX6_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ERS370003_02786	Achromobacter sp.	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp."	134375
A0A167B1H8	A0A167B1H8_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS A3839_14165	Achromobacter sp. AR476-2	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp. AR476-2"	1631616
Q6J248	Q6J248_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (Fragment)		Achromobacter sp. CM1	245	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp. CM1"	279142
